id,image_name,option
image_1,image_1,2
image_2,image_2,2
image_3,image_3,2
image_4,image_4,1
image_5,image_5,1
image_6,image_6,2
image_7,image_7,1
image_8,image_8,3
image_9,image_9,4
image_10,image_10,3
image_11,image_11,4
image_12,image_12,1
image_13,image_13,4
image_14,image_14,2
image_15,image_15,2
image_16,image_16,2
image_17,image_17,3
image_18,image_18,4
image_19,image_19,2
image_20,image_20,3
image_21,image_21,4
image_22,image_22,3
image_23,image_23,3
image_24,image_24,3
image_25,image_25,1
image_26,image_26,3
image_27,image_27,4
image_28,image_28,1
image_29,image_29,1
image_30,image_30,4
image_31,image_31,2
image_32,image_32,1
image_33,image_33,2
image_34,image_34,1
image_35,image_35,1
image_36,image_36,1
image_37,image_37,1
image_38,image_38,1
image_39,image_39,4
image_40,image_40,2
image_41,image_41,4
image_42,image_42,2
image_43,image_43,3
image_44,image_44,3
image_45,image_45,4
image_46,image_46,3
image_47,image_47,4
image_48,image_48,4
image_49,image_49,3
image_50,image_50,2
